Time,0.3,0.5,1.0,2.5,5.0,10,Temperature,Pressure,Humidity
1771628324.320021,489,131,16,0,0,0,11.256562500000001,1006.1206532478428,46.8094133945704
1771628325.3330693,489,131,16,0,0,0,11.296601562500001,1006.1234122012844,46.802219537619266
1771628326.3443003,489,131,16,0,0,0,11.331757812500001,1006.1279107518535,46.71845592218933
1771628327.3572328,507,137,14,0,0,0,11.356367187499998,1006.1211831524404,46.70368303877108
1771628328.370073,507,137,14,0,0,0,11.3755078125,1006.1218987704054,46.60647549213828
1771628329.3829691,507,137,14,0,0,0,11.3899609375,1006.1196715563015,46.51463391868078
1771628330.3959098,507,141,20,0,0,0,11.3977734375,1006.1245736299587,46.39875044040113
1771628331.4088442,507,141,20,0,0,0,11.400312499999998,1006.1238655552859,46.288187318874044
1771628332.421709,507,141,20,0,0,0,11.404023437500001,1006.1251479380103,46.17782643483916
1771628333.4346359,513,143,18,0,0,0,11.4055859375,1006.1211074261184,46.06729763340209
1771628334.4468298,513,143,18,0,0,0,11.402070312500001,1006.1218304532199,45.979561289661795
1771628335.4596014,513,143,18,0,0,0,11.4008984375,1006.1181663509683,45.88631301881456
1771628336.4724045,519,141,18,0,0,0,11.399921875,1006.121528445466,45.81640007941813
1771628337.485281,519,141,18,0,0,0,11.39875,1006.1195379524435,45.740681452237624
1771628338.4980907,519,141,18,0,0,0,11.400312499999998,1006.1188447200263,45.70016663918509
1771628339.510992,552,154,18,0,0,0,11.398359374999998,1006.1255688820643,45.67670509217303
1771628340.5239246,552,154,18,0,0,0,11.392695312499999,1006.1192953090908,45.68770138622362
1771628341.5369403,552,154,18,0,0,0,11.384882812499999,1006.1210874504463,45.68683786756985
1771628342.5497854,573,160,19,0,0,0,11.379609375000001,1006.1221714527351,45.66301187321761
1771628343.5627942,573,160,19,0,0,0,11.377070312499999,1006.1161850740376,45.610446278756314
1771628344.5757303,573,160,19,0,0,0,11.371015624999998,1006.1159418925811,45.54589689401312
1771628345.5890036,567,164,19,0,0,0,11.36671875,1006.1170108643068,45.56284277507932
1771628346.6018322,567,164,19,0,0,0,11.3596875,1006.1234761308383,45.55045437021688
1771628347.6147459,567,164,19,0,0,0,11.351289062500001,1006.1225982105223,45.50888972632887
